objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,file_name-old,object_location-old,image_small-old,image_thumb-old,image_alt_text,object_transcript,filename,object_location,image_small,image_thumb
suzs_017,Notes found in Dr. Salimuzzaman Siddiqui's papers,amalz,,"Notes found in Dr. Salimuzzaman Siddiqui's papers, seemingly for a talk",papers,,,,Private Collection of Amal Zaman,,,,,,,image,notes.jpeg,/objects/notes.jpeg,/objects/small/notes_sm.jpg,/objects/thumbs/notes_th.jpg,,,notes1.jpeg,/objects/notes1.jpeg,/objects/small/notes1_sm.jpg,/objects/thumbs/notes1_th.jpg
suzs_022,Untitled oil Painting 1,amalz,,An untitled oil painting by Dr. Salimuzzaman Siddiqui,art work,,,,Private Collection of Amal Zaman,,,,,,,image,painting1.jpg,/objects/painting1.jpg,/objects/small/painting1_sm.jpg,/objects/thumbs/painting1_th.jpg,,,painting1.jpg,/objects/painting1.jpg,/objects/small/painting1_sm.jpg,/objects/thumbs/painting1_th.jpg
suzs_023,Untitled oil painting 2,amalz,,An untitled oil painting by Dr. Salimuzzaman Siddiqui,art work,,,,Private Collection of Amal Zaman,,,,,,,image,painting2.jpg,/objects/painting2.jpg,/objects/small/painting2_sm.jpg,/objects/thumbs/painting2_th.jpg,,,painting2.jpg,/objects/painting2.jpg,/objects/small/painting2_sm.jpg,/objects/thumbs/painting2_th.jpg
suzs_024,Untitled oil painting 3,amalz,,An untitled oil painting by Dr. Salimuzzaman Siddiqui,art work,,,,Private Collection of Amal Zaman,,,,,,,image,painting3.jpg,/objects/painting3.jpg,/objects/small/painting3_sm.jpg,/objects/thumbs/painting3_th.jpg,,,painting3.jpg,/objects/painting3.jpg,/objects/small/painting3_sm.jpg,/objects/thumbs/painting3_th.jpg
suzs_025,"""Buddha""",amalz,,"An oil painting by Dr. Salimuzzaman Siddiqui titled ""Buddha""",art work,,,,Private Collection of Amal Zaman,,,,,,,image,paintingbuddha.jpg,/objects/paintingbuddha.jpg,/objects/small/paintingbuddha_sm.jpg,/objects/thumbs/paintingbuddha_th.jpg,,,paintingbuddha.jpg,/objects/paintingbuddha.jpg,/objects/small/paintingbuddha_sm.jpg,/objects/thumbs/paintingbuddha_th.jpg
suzs_026,Pakistan Council of Scientific and Industrial Research ,amalz,,"A photograph of the recipients of the degree of Masters of science in chemistry, 1965",institutional photography,,,,Private Collection of Amal Zaman,,,,,,,pdf,pcsic1965.pdf,/objects/pcsic1965.pdf,/objects/small/pcsic1965_sm.jpg,/objects/thumbs/pcsic1965_th.jpg,,,pcsic1965.pdf,/objects/pcsic1965.pdf,/objects/small/pcsic1965_sm.jpg,/objects/thumbs/pcsic1965_th.jpg
suzs_027,Salimuzzaman Siddiqui and the Duke of Edinburgh 1,amalz,,A photograph of Salimuzzaman Siddiqui giving the Duke of Edinburgh a tour,institutional photography,,,,Private Collection of Amal Zaman,,,,,,,pdf,photo1.pdf,/objects/photo1.pdf,/objects/small/photo1_sm.jpg,/objects/thumbs/photo1_th.jpg,,,photo1.pdf,/objects/photo1.pdf,/objects/small/photo1_sm.jpg,/objects/thumbs/photo1_th.jpg
suzs_028,Salimuzzaman Siddiqui and the Duke of Edinburgh 2,amalz,,A photograph of Salimuzzaman Siddiqui giving the Duke of Edinburgh a tour,institutional photography,,,,Private Collection of Amal Zaman,,,,,,,image,photo2.jpeg,/objects/photo2.jpeg,/objects/small/photo2_sm.jpg,/objects/thumbs/photo2_th.jpg,,,photo2.jpeg,/objects/photo2.jpeg,/objects/small/photo2_sm.jpg,/objects/thumbs/photo2_th.jpg
suzs_030,Salimuzzaman Siddiqui and the pope,amalz,,A photograph of Salimuzzaman shaking hands with the pope,institutional photography,,,,Private Collection of Amal Zaman,,,,,,,pdf,popephoto.pdf,/objects/popephoto.pdf,/objects/small/popephoto_sm.jpg,/objects/thumbs/popephoto_th.jpg,,,popephoto.pdf,/objects/popephoto.pdf,/objects/small/popephoto_sm.jpg,/objects/thumbs/popephoto_th.jpg
suzs_031,Salimuzzaman Siddiqui and the Duke of Edinburgh 3,amalz,,A photograph of Salimuzzaman Siddiqui giving the Duke of Edinburgh a tour,institutional photography,,,,Private Collection of Amal Zaman,,,,,,,image,princephillip.jpeg,/objects/princephillip.jpeg,/objects/small/princephillip_sm.jpg,/objects/thumbs/princephillip_th.jpg,,,princephillip.jpeg,/objects/princephillip.jpeg,/objects/small/princephillip_sm.jpg,/objects/thumbs/princephillip_th.jpg
